,elements,papername,author,year,state,charge,defect,Ed,title,doi,measurement_technique,defectID,Ed_a,Ed_h,dEd_h,isbn,comments,k,sample.growth,sample.dopant,sample.incorporation,sigma_ha,sigma_ea,dEd_a,e_h,sample.resistivity,measurement_details.Ur,measurement_data.T,measurement_data.e,sigma_h,dsigma_e,sigma_e,measurement_details.T,measurement_details.tp,dEd,dk,measurement_details.single_shot,dsigma_ea,issn,linked,c_e,c_h,e_e,measurement_details.Up,measurement_details.Rw,dsigma_ha,dsigma_h,measurement_details.low_field
432,['Mo'],lemke1994,lemke,1994,[''],d,Mo_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Mo_d_lemke1994_1994_None,,Ev+0.28,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 110K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1.1e-8/1e7,,,200,,,,,,,Mo_i_d.srh,,1.1e-08,,,,,,
717,['Cr'],lemke1994,lemke,1994,[''],d,Cr_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Cr_d_lemke1994_1994_None,Ec-0.23,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 110K,,FZ,"boron, phosphorus",diffusion,,>10e-8/1e7,,,,,,,,,,110.0,,,,,,,Cr_i_d.srh,>10e-8,,,,,,,
975,['Hf'],lemke1994,lemke,1994,[''],dd,Hf_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Hf_dd_lemke1994_1994_None,,Ev+0.32,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 250K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,7e-11/1e7,,,250.0,,,,,,,Hf_i_dd.srh,,7e-11,,,,,,
974,['Hf'],lemke1994,lemke,1994,[''],a,Hf_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Hf_a_lemke1994_1994_None,Ec-0.1,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 65K,,FZ,"boron, phosphorus",diffusion,,>2e-7/1e7,,,,,,,,,,65.0,,,,,,,Hf_i_a.srh,>2e-7,,,,,,,
536,['Ru'],lemke1994,lemke,1994,[''],d,Ru_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ru_d_lemke1994_1994_None,,Ev+0.26,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 150K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1e-8/1e7,,,150.0,,,,,,,Ru_i_d.srh,,1e-8,,,,,,
391,['Ag'],lemke1994,lemke,1994,[''],d,Ag_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ag_d_lemke1994_1994_None,,Ev+0.37,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 170K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1e-8/1e7,,,170.0,,,,,,,Ag_s_d.srh,,1e-8,,,,,,
644,['Mn'],lemke1994,lemke,1994,[''],dd,Mn_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Mn_dd_lemke1994_1994_None,,Ev+0.27,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,2e-11/1e7,,,200.0,,,,,,,Mn_i_dd.srh,,2e-11,,,,,,
1161,['W'],lemke1994,lemke,1994,[''],d,W_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",W_d_lemke1994_1994_None,,Ev+0.39,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,6.3e-9/1e7,,,200.0,,,,,,,,,6.3e-09,,,,,,
976,['Hf'],lemke1994,lemke,1994,[''],d,Hf_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Hf_d_lemke1994_1994_None,Ec-0.4,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 180K,,FZ,"boron, phosphorus",diffusion,,>3e-7/1e7,,,,,,,,,,180.0,,,,,,,Hf_i_d.srh,>3e-7,,,,,,,
524,['Pt'],lemke1994,lemke,1994,[''],d,Pt_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Pt_d_lemke1994_1994_None,,Ev+0.3,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 160K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,8e-9/1e7,,,160.0,,,,,,,Pt_s_d.srh,,8e-9,,,,,,
621,['Os'],lemke1994,lemke,1994,[''],d,Os_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Os_d_lemke1994_1994_None,,Ev+0.3,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1e-8/1e7,,,200.0,,,,,,,Os_i_d.srh,,1e-8,,,,,,
500,['Ti'],lemke1994,lemke,1994,[''],a,Ti_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ti_a_lemke1994_1994_None,Ec-0.07,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 50K,,FZ,"boron, phosphorus",diffusion,,>1e-7/1e7,,,,,,,,,,50.0,,,,,,,Ti_i_a.srh,1e-7,,,,,,,
268,['Cu'],lemke1994,lemke,1994,[''],d,Cu_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Cu_d_lemke1994_1994_None,Ev+0.23,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 100K,,FZ,"boron, phosphorus",diffusion,,>1e-8/1e7,,,,,,,,,,100.0,,,,,,,Cu_s_d.srh,>1e-8,,,,,,,
90,['Zr'],lemke1994,lemke,1994,[''],dd,Zr_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Zr_dd_lemke1994_1994_None,,Ev+0.32,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 250K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1.8e-10/1e7,,,250.0,,,,,,,Zr_i_dd.srh,,1.8e-10,,,,,,
1240,['Ni'],lemke1994,lemke,1994,[''],aa,Ni_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ni_aa_lemke1994_1994_None,Ec-0.06,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 45K,,FZ,"boron, phosphorus",diffusion,,5e-11/1e7,,,,,,,,,,45.0,,,,,,,Ni_s_aa.srh,,,,,,,,
1244,['Re'],lemke1994,lemke,1994,[''],a,Re_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Re_a_lemke1994_1994_None,Ec-0.07,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 45K,,FZ,"boron, phosphorus",diffusion,,8e-9/1e7,,,,,,,,,,45.0,,,,,,,Re_i_a.srh,8e-9,,,,,,,
1246,['Re'],lemke1994,lemke,1994,[''],d,Re_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Re_d_lemke1994_1994_None,,Ec-0.35,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,8.2e-9/1e7,200.0,,,,,,,Re_i_d.srh,8.2e-09,,,,,,,
89,['Zr'],lemke1994,lemke,1994,[''],a,Zr_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Zr_a_lemke1994_1994_None,Ec-0.13,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 70K,,FZ,"boron, phosphorus",diffusion,,>1e-7/1e7,,,,,,,,,,70.0,,,,,,,,>1e-7,,,,,,,
482,['Ti'],lemke1994,lemke,1994,[''],dd,Ti_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ti_dd_lemke1994_1994_None,,Ev+0.28,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1e-10/1e7,,,200.0,,,,,,,Ti_i_dd.srh,,1e-10,,,,,,
441,['Sc'],lemke1994,lemke,1994,[''],ddd,Sc_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Sc_ddd_lemke1994_1994_None,,Ev+0.2,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 150K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,1.2e-12/1e7,,,150.0,,,,,,,Sc_i_ddd.srh,,1.2e-12,,,,,,
