,elements,papername,author,year,state,charge,defect,Ed,title,doi,measurement_technique,defectID,Ed_a,Ed_h,dEd_h,isbn,comments,k,sample.growth,sample.dopant,sample.incorporation,sigma_ha,sigma_ea,dEd_a,e_h,sample.resistivity,measurement_details.Ur,measurement_data.T,measurement_data.e,sigma_h,dsigma_e,sigma_e,measurement_details.T,measurement_details.tp,dEd,dk,measurement_details.single_shot,dsigma_ea,issn,linked,c_e,c_h,e_e,measurement_details.Up,measurement_details.Rw,dsigma_ha,dsigma_h,measurement_details.low_field
691,['Cr'],feichtinger1981,feichtinger,1981,['i'],d,Cr_i,None,Energy levels and solubility of interstitial chromium in silicon,10.1063/1.92856,"Hall, EPR",Cr_id_feichtinger1981_1981_None,Ec-0.222,,,,,,CZ,boron,thermal,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
473,['Ti'],graff1981a,graff,1981,[''],d,Ti_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Ti_d_graff1981a_1981_None,,Ev+0.245,,,,,"FZ, CZ",boron,thermal,,,,,1-100,,,,4.4e-17*exp(-0.057/kT)/exp(-0.057/k/205),,,,,,,,,0091-391X,Ti_i_dd.srh,,,,,,,,
1225,['Ni'],graff1981a,graff,1981,[''],d,Ni_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Ni_d_graff1981a_1981_None,,Ev+0.152,,,,,"FZ, CZ",boron,thermal,,,,,1-100,,,,2.7e-17*exp(0),,,,,,,,,0091-391X,Ni_s_d.srh,,,,,,,,
875,['Au'],graff1981a,graff,1981,[''],d,Au_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Au_d_graff1981a_1981_None,,Ev+0.35,,,,,"FZ, CZ",boron,thermal,2e-14,,,,1-100,,,,,,,,,,,,,0091-391X,Au_s_d.srh,,,,,,,,
652,"['B', 'Mn']",lemke1981a,lemke,1981,"['s', 'i']",d,B_sMn_i,None,Eigensehaften der Dotierungsniveaus von Mangan und Vanadium in Silizium,10.1002/pssa.2210640219,"DLTS, TS-C",B_sMn_id_lemke1981a_1981_None,Ec-0.55,,,,Assumeed thermal velocity of 1e7,,,boron,diffusion,,1E-21,,,,,,,,,,,,,,,,,,,,,,,,,
121,"['Al', 'Fe']",graff1981,graff,1981,"['s', 'i']",d,Al_sFe_i,None,The Properties of Iron in Silicon,10.1149/1.2127478,"DLTS, FTIR",Al_sFe_id_graff1981_1981_None,Ev+0.13,,,,"FTIR at 25 K, No AlFe peak found",,"CZ, FZ","aluminium, boron, phosphorus",thermal,,,,,1-100,,,,,,,,,,,,,,,,,,,,,,
741,"['B', 'Fe']",graff1981,graff,1981,"['s', 'i']",d,B_sFe_i,None,The Properties of Iron in Silicon,10.1149/1.2127478,"DLTS, FTIR",B_sFe_id_graff1981_1981_None,Ev+0.1,,,,"FTIR at 25 K, No AlFe peak found",,"CZ, FZ","aluminium, boron, phosphorus",thermal,,,,,1-100,,,,,,,,,,,,,,,,,,,,,,
62,['V'],lemke1981a,lemke,1981,[''],a,V_,None,Eigensehaften der Dotierungsniveaus von Mangan und Vanadium in Silizium,10.1002/pssa.2210640219,"DLTS, TS-C",V_a_lemke1981a_1981_None,Ec-0.18,,,,Assumeed thermal velocity of 1e7,,,boron,diffusion,,2E-16,,,,,,,,,,,,,,,,,V_i_a.srh,,,,,,,,
716,['Cr'],graff1981a,graff,1981,[''],d,Cr_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Cr_d_graff1981a_1981_None,,Ec-0.2,,,,,"FZ, CZ",phosphorus,thermal,,1.1e-12,,,1-100,,,,,,,,,,,,9e-13,0091-391X,Cr_i_d.srh,,,,,,,,
967,['Zn'],sah1981,sah,1981,['s'],aa,Zn_s,None,Effect of zinc impurity on silicon solar-cell efficiency,10.1109/T-ED.1981.20333,"TS-I, DLTS-Cr",Zn_saa_sah1981_1981_None,Ev+0.664,,,,"Capture rate at 300 K, energy levels and capture cross sections not provided, these are calculated.",,,boron,thermal,,,0.001,5.36e12*(T/300)**(-2) * exp(-0.644/kT),,,,,3.55e-15,,9.6e-20,,,,,,,,,3.7e-10 * exp(-0.136/kT),6e-8,,,,,,True
732,"['B', 'Cr']",graff1981a,graff,1981,"['', '']",,B_Cr_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,B_Cr__graff1981a_1981_None,,Ev+0.29,,,,,"FZ, CZ",boron,thermal,8e-19,,,,1-100,,,,,,,,,,,,,0091-391X,BCr_s-i_d.srh,,,,,,,,
736,"['B', 'Fe']",graff1981a,graff,1981,"['', '']",d,B_Fe_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,B_Fe_d_graff1981a_1981_None,,Ev+0.106,,,,,"FZ, CZ",boron,thermal,1.5e-13,,,,1-100,,,,,,,,,,,,,0091-391X,FeB_i-s_d.srh,,,,,,,,
1075,['Fe'],lemke1981,lemke,1981,['i'],d,Fe_i,None,Dotierungseigenschaften von Eisen in Silizium,10.1002/pssa.2210640123,"DLTS-CrMe, TS-C",Fe_id_lemke1981_1981_None,Ev+0.43,Ev+0.39,,,"Capture cross sections manually extracted from figure, rates from digitisation of figure 10.",,,,,,,,2121999 * T**2 * exp(-0.435/kT),,,,,7.86e-20*exp(0.0221*T)+1.78e-17,,1.03e-10*T**(-1.506),,,,,,,,,,,,,,,,
954,['Zn'],sah1981,sah,1981,['s'],a,Zn_s,Ei-0.271,Effect of zinc impurity on silicon solar-cell efficiency,10.1109/T-ED.1981.20333,"TS-I, DLTS-Cr",Zn_sa_sah1981_1981_Ei-0.271,Ev+0.297,,,,"Capture rate at 300 K, energy levels and capture cross sections not provided, these are calculated.",,,boron,thermal,,,0.001,7.4e12 * (T/300)**(-1)* exp(-0.326/kT),,,,,2.97e-15,,1.125e-15,,,,,,,,,2.25e-08,5e-8,,,,,,
750,"['B', 'Fe']",graff1981,graff,1981,"['s', 'i']",a,B_sFe_i,None,The Properties of Iron in Silicon,10.1149/1.2127478,"DLTS, FTIR",B_sFe_ia_graff1981_1981_None,Ev+0.6,,,,"FTIR at 25 K, No FeB peak found",,"CZ, FZ","aluminium, boron, phosphorus",thermal,,,,,1-100,5.0,,,,,,,70 ms,,,,,,,,,,,,,,
19,['O'],kimerling1981,kimerling,1981,['p'],,O_p,None,Oxygen_related donor states in silicon,10.1063/1.92755,DLTS,O_p_kimerling1981_1981_None,Ec-0.15,,,,"80K Thermal donor state 2.Heat treatments were performed at 450 C in flowing N2 for various durations: 30 min, 1 h, 2 h, 5 h.",,CZ,"boron, phosphorus",,,,,,1-10,,,,,,,,,,,,,,,,,,,,,,
751,"['B', 'Fe']",lemke1981,lemke,1981,"['s', 'i']",a,B_sFe_i,None,Dotierungseigenschaften von Eisen in Silizium,10.1002/pssa.2210640123,"DLTS-CrMe, TS-C",B_sFe_ia_lemke1981_1981_None,,Ec-0.23,,,Capture cross sections manually extracted from figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"['Al', 'Fe']",graff1981,graff,1981,"['s', 'i']",dd,Al_sFe_i,None,The Properties of Iron in Silicon,10.1149/1.2127478,"DLTS, FTIR",Al_sFe_idd_graff1981_1981_None,Ev+0.21,,,,"FTIR at 25 K, No AlFe peak found",,"CZ, FZ","aluminium, boron, phosphorus",thermal,,,,,1-100,,,,,,,,,,,,,,,,,,,,,,
61,['V'],graff1981a,graff,1981,[''],a,V_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,V_a_graff1981a_1981_None,,Ec-0.154,,,,,"FZ, CZ",phosphorus,thermal,,2.6e-16,,,1-100,,,,,,,,,,,,,0091-391X,V_i_a.srh,,,,,,,,
159,"['Al', 'B']",graff1981,graff,1981,"['i', 's']",d,Al_iB_s,None,The Properties of Iron in Silicon,10.1149/1.2127478,"DLTS-D, LS, FTIR",Al_iB_sd_graff1981_1981_None,Ev+0.13,,,,,,"CZ,FZ",aluminium,thermal,,,,,1-100,5.0,,,,,,,70 ms,,,,,,,,,,,,,,
149,"['Al', 'B']",graff1981,graff,1981,"['i', 's']",a,Al_iB_s,None,The Properties of Iron in Silicon,10.1149/1.2127478,"DLTS-D, LS, FTIR",Al_iB_sa_graff1981_1981_None,Ev+0.21,,,,,,"CZ,FZ",aluminium,thermal,,,,,1-100,5.0,,,,,,,70 ms,,,,,,,,,,,,,,
487,['Ti'],graff1981a_1,graff,1981,[''],,Ti_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Ti__graff1981a_1_1981_None,,Ec-0.079,,,,,"FZ, CZ",phosphorus,thermal,,5.1e-14,,,1-100,,,,,,,,,,,,,0091-391X,Ti_i_a.srh,,,,,,,,
486,['Ti'],graff1981a,graff,1981,[''],,Ti_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Ti__graff1981a_1981_None,,Ec-0.32,,,,,"FZ, CZ",phosphorus,thermal,,4.5e-13,,,1-100,,,,,,,,,,,,2.5e-13,0091-391X,Ti_i_d.srh,,,,,,,,
265,['Cu'],graff1981a,graff,1981,[''],d,Cu_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Cu_d_graff1981a_1981_None,,Ev+0.102,,,,,"FZ, CZ",boron,thermal,,,,,1-100,,,,2.1e-13*exp(0),,,,,,,,,0091-391X,CuCu_i-s_d.srh,,,,,,,,
864,['Au'],graff1981a,graff,1981,[''],a,Au_,None,The behavior of transition and noble metals in silicon crystals,,DLTS-Cr,Au_a_graff1981a_1981_None,,Ec-0.54,,,,,"FZ, CZ",phosphorus,thermal,,4e-16,,,1-100,,,,,,,,,,,,,0091-391X,Au_s_a.srh,,,,,,,,
20,['O'],kimerling1981_1,kimerling,1981,['p'],,O_p,None,Oxygen_related donor states in silicon,10.1063/1.92755,DLTS,O_p_kimerling1981_1_1981_None,Ec-0.07,,,,"30K Thermal donor state 2.Heat treatments were performed at 450 C in flowing N2 for various durations: 30 min, 1 h, 2 h, 5 h.",,CZ,"boron, phosphorus",,,,,,1-10,,,,,,,,,,,,,,,,,,,,,,
369,['Si'],kveder1982_5,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_5_1982_None,,Ev+0.39,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,boron,deformation,,,,,1,,,,,,,,,,,,,,,,,,,,,,
904,['Au'],benton1982_1,benton,1982,['s'],d,Au_s,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Au_sd_benton1982_1_1982_None,Ev+0.35,,,,"Emission rate at 1.8 ms at 173 K, quenched",,FZ,,,9.999999999999999e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,['Fe'],benton1982_3,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_3_1982_None,Ev+0.23,,,,"Emission rate at 1.8 ms at 184 K, slowly cooled",,FZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"['P', 'Si']",brotherton1982,brotherton,1982,"['', 'v']",d,P_Si_v,None,Defect production and lifetime control in electron and γ-irradiated silicon,10.1063/1.331460,DLTS-Cr,P_Si_vd_brotherton1982_1982_None,Ec-0.456,Ec-0.456,,,"E centre, out at 420 K for 30 min. measurement data taken from laplace DLTS database.",,FZ,phosphorus,irridation,,,,,60,,"191.7,209.1,229.8,254.8","1,10,100,1000",,2.00E-16,3.70E-15,,,,,,,,,,,,,,,,
1014,['Unknown'],benton1982,benton,1982,[''],,Unknown_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Unknown__benton1982_1982_None,Ec-0.15,,,,"Emission rate at 1.8 ms at 112 K, From heat treatments",,CZ,,,,2e-16,,,,,,,,,,,,,,,,,,,,,,,,,
38,['O'],benton1982,benton,1982,[''],d,O_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,O_d_benton1982_1982_None,Ec-0.07,,,,"Emission rate at 1.8 ms at 58 K, ",,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"['O', 'Si']",benton1982,benton,1982,"['', 'v']",,O_Si_v,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,O_Si_v_benton1982_1982_None,Ec-0.18,,,,"Emission rate at 1.8 ms at 139 K, Irradiated with 1 Mev",,CZ,,,,1e-14,,,,,,,,,,,,,,,,,,,,,,,,,
1046,['Fe'],benton1982_1,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_1_1982_None,Ec-0.21,,,,"Emission rate at 1.8 ms at 208 K, slowly cooled",,FZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,['Unknown'],benton1982_1,benton,1982,[''],,Unknown_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Unknown__benton1982_1_1982_None,Ec-0.22,,,,"Emission rate at 1.8 ms at 228 K, From heat treatments",,Cz,,,,7e-16,,,,,,,,,,,,,,,,,,,,,,,,,
1049,['Fe'],benton1982_4,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_4_1982_None,Ec-0.35,,,,"Emission rate at 1.8 ms at 170 K, quenched",,CZ,,,,5e-15,,,,,,,,,,,,,,,,,,,,,,,,,
888,['Au'],benton1982,benton,1982,['s'],a,Au_s,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Au_sa_benton1982_1982_None,Ec-0.53,,,,"Emission rate at 1.8 ms at 288 K, quenched",,FZ,,,,2e-16,,,,,,,,,,,,,,,,,,,,,,,,,
1016,['Unknown'],benton1982_2,benton,1982,[''],,Unknown_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Unknown__benton1982_2_1982_None,Ec-0.47,,,,"Emission rate at 1.8 ms at 115 K,  From laser doping",,CZ,,,,5e-16,,,,,,,,,,,,,,,,,,,,,,,,,
81,"['P', 'Si']",benton1982,benton,1982,"['v', '']",,P_vSi_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,P_vSi__benton1982_1982_None,Ec-0.44,,,,"Emission rate at 1.8 ms at 204 K, Irradiated with 1 Mev",,"FZ,CZ",,,,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,
905,['Au'],wu1982,wu,1982,['s'],d,Au_s,None,Capture cross sections of the gold donor and acceptor states in n-type Czochralski silicon,10.1016/0038-1101(82)90066-1,DLTS-CrMo,Au_sd_wu1982_1982_None,,,,,"100-200 K, Lists issues when comparing different publications, including the same technique from the year before,",,CZ,phosphorus,diffusion,,,,,3-50,,,,3.5e-15,2e-16,1.1e-15*(T/158)**(-2),,,,,,,,,,,,,,,8e-16,
39,['O'],benton1982_1,benton,1982,[''],d,O_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,O_d_benton1982_1_1982_None,Ec-0.15,,,,"Emission rate at 1.8 ms at 59,60 K, ",,CZ,,,,3e-15,,,,,,,,,,,,,,,,,,,,,,,,,
1019,['Unknown'],benton1982_5,benton,1982,[''],,Unknown_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Unknown__benton1982_5_1982_None,Ev+0.36,,,,"Emission rate at 1.8 ms at 98 K, quenched,  From laser doping",,"FZ,CZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,['Ag'],benton1982,benton,1982,[''],a,Ag_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Ag_a_benton1982_1982_None,Ec-0.51,,,,"Emission rate at 1.8 ms at 286 K, quenched",,FZ,,,,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,
306,"['Si', 'Si']",mukashev1982,mukashev,1982,"['v', 'v']",d,Si_vSi_v,None,Studies of radiation defects in hydrogen implanted silicon by deep level transient spectroscopy,10.1080/00337578208229928,DLTS,Si_vSi_vd_mukashev1982_1982_None,Ec-0.18,,,,measurement data taken from laplace DLTS database. Out at 623 for 10 min,,CZ,boron,irridation,,,0.015,,22,5.0,"87.8,96.7,107.6,121.1","1,10,100,1000",,,,,,,,,,,,,,,,,,,
1047,['Fe'],benton1982_2,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_2_1982_None,Ec-0.46,,,,"Emission rate at 1.8 ms at 299 K, slowly cooled",,FZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,['Unknown'],benton1982_4,benton,1982,[''],,Unknown_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Unknown__benton1982_4_1982_None,Ec-0.345,,,,"Emission rate at 1.8 ms at 211 K, quenched,  From laser doping",,"FZ,CZ",,,,5e-16,0.015,,,,,,,,,,,,,,,,,,,,,,,,
368,['Si'],kveder1982_4,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_4_1982_None,,Ev+0.25,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,boron,deformation,,,,,1,,,,,,,,,,,,,,,,,,,,,,
367,['Si'],kveder1982_3,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_3_1982_None,,Ec-0.6,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,phosphorus,deformation,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
366,['Si'],kveder1982_2,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_2_1982_None,,Ec-0.51,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,phosphorus,deformation,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
365,['Si'],kveder1982_1,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_1_1982_None,,Ec-0.37,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,phosphorus,deformation,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
364,['Si'],kveder1982,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_1982_None,,Ec-0.27,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,phosphorus,deformation,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
1017,['Unknown'],benton1982_3,benton,1982,[''],,Unknown_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Unknown__benton1982_3_1982_None,Ec-0.19,,,,"Emission rate at 1.8 ms at 200 K, quenched, ,  From laser doping",,"FZ,CZ",,,,5e-19,,,,,,,,,,,,,,,,,,,,,,,,,
362,['Si'],benton1982,benton,1982,['d'],,Si_d,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Si_d_benton1982_1982_None,Ec-0.38,,,,"Emission rate at 1.8 ms at 206 K, ",,FZ,,,,1.4e-15,,,,,,,,,,,,,,,,,,,,,,,,,
1045,['Fe'],benton1982,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_1982_None,Ec-0.35,,,,"Emission rate at 1.8 ms at 181 K, quenched",,FZ,,,,6e-15,,,,,,,,,,,,,,,,,,,,,,,,,
360,"['Si', 'Si']",brotherton1982,brotherton,1982,"['v', 'v']",dd,Si_vSi_v,None,Defect production and lifetime control in electron and γ-irradiated silicon,10.1063/1.331460,DLTS-Cr,Si_vSi_vdd_brotherton1982_1982_None,Ec-0.246,Ec-0.23,,,Out at 625 K for 30 min. measurement data taken from laplace DLTS database.,,FZ,phosphorus,irridation,,,,,60,,"110.3,120.3,132.1,146.5","1,10,100,1000",,,3.4e-16*exp(-0.017/kT),,,,,,,,,,,,,,,,
370,['Si'],kveder1982_6,kveder,1982,['d'],,Si_d,None,On the Energy Spectrum of Dislocations in Silicon,10.1002/pssa.2210720233,DLTS-Cr,Si_d_kveder1982_6_1982_None,,Ev+0.4,,,Instead of transient a log behaviour is observed with time. This is expected to arrise from the charge on a disslocation.,,FZ,boron,deformation,,,,,1,,,,,,,,,,,,,,,,,,,,,,
889,['Au'],wu1982,wu,1982,['s'],a,Au_s,None,Capture cross sections of the gold donor and acceptor states in n-type Czochralski silicon,10.1016/0038-1101(82)90066-1,DLTS-CrMo,Au_sa_wu1982_1982_None,Ec-0.550,Ec-0.550,,,"80-200 K, Lists issues when comparing older values. These include when the trap concentration is too large, but also that there may have been different defects.",,CZ,phosphorus,diffusion,,,,,3-50,,,,0.9e-14 * (T/300)**(-1.3),2e-17,8.5e-17,,,,,,,,,,,,,,,0.2e-14 * (T/300)**(-1.3),
1052,['Fe'],benton1982_7,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_7_1982_None,Ev+0.47,,,,"Emission rate at 1.8 ms at 220 K, quenched",,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,"['Si', 'Si']",brotherton1982,brotherton,1982,"['v', 'v']",d,Si_vSi_v,None,Defect production and lifetime control in electron and γ-irradiated silicon,10.1063/1.331460,DLTS-Cr,Si_vSi_vd_brotherton1982_1982_None,Ec-0.413,Ec-0.413,,,Out at 625 K for 30 min. measurement data taken from laplace DLTS database.,,FZ,phosphorus,irridation,,,,,60,,"188,205.8,227.2,253.3","1,10,100,1000",,2.00E-16,2.00E-15,,,,,,,,,,,,,,,,
290,['Cu'],benton1982,benton,1982,[''],,Cu_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Cu__benton1982_1982_None,Ev+0.22,,,,"Emission rate at 1.8 ms at 122 K, quenched",,FZ,,,6e-14,,,,,,,,,,,,,,,,,,,,,,,,,,
363,['Si'],benton1982_1,benton,1982,['d'],,Si_d,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Si_d_benton1982_1_1982_None,Ev+0.35,,,,"Emission rate at 1.8 ms at 288 K, ",,FZ,,,5e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,['Fe'],benton1982_5,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_5_1982_None,Ev+0.30,,,,"Emission rate at 1.8 ms at 168 K, quenched",,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,['Fe'],benton1982_6,benton,1982,[''],,Fe_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Fe__benton1982_6_1982_None,Ev+0.43,,,,"Emission rate at 1.8 ms at 237 K, quenched",,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,['Ag'],benton1982_1,benton,1982,[''],d,Ag_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Ag_d_benton1982_1_1982_None,Ev+0.38,,,,"Emission rate at 1.8 ms at 184 K, quenched",,FZ,,,,,,,,,,,,,,,,,,,,,Ag_s_d.srh,,,,,,,,
1078,['Fe'],wunstel1982_1,wunstel,1982,['i'],d,Fe_i,None,Interstitial iron and iron-acceptor pairs in silicon,10.1007/BF00619081,DLTS-Cr,Fe_id_wunstel1982_1_1982_None,,Ev+0.39,0.02,,,,FZ,"aluminium, boron, gallium",thermal,,,,1.603e6*T**2*exp(-0.43/kT),0.3-100,,,,1.6e-16*exp(-0.043/k/T),,,,,,,,,,,,,,,,,,
1077,['Fe'],wunstel1982,wunstel,1982,['i'],d,Fe_i,None,Interstitial iron and iron-acceptor pairs in silicon,10.1007/BF00619081,Hall,Fe_id_wunstel1982_1982_None,,Ev+0.39,,,,,FZ,"aluminium, boron, gallium",thermal,,,,,0.3-100,,,,,,,,,,,,,,,,,,,,,,
314,"['Si', 'Si']",brotherton1982,brotherton,1982,"['v', 'v']",,Si_vSi_v,None,Defect production and lifetime control in electron and γ-irradiated silicon,10.1063/1.331460,DLTS,Si_vSi_v_brotherton1982_1982_None,Ec-0.346,,,,"In at 570 K, not sure what it is",,FZ,phosphorus,irridation,,4.60E-17,,,60,,,,,,,,,,,,,,,,,,,,,,
228,['C'],jellison1982,jellison,1982,[''],,C_,None,Transient capacitance studies of an electron trap at Ec-ET = 0.105 eV in phosphorus-doped silicon,10.1063/1.331459,"DLTS, EPR",C__jellison1982_1982_None,Ec-0.105,,,,Anneals out at 625 K.,,FZ,phosphorus,irradiation,,>1e-14,0.005,,10,,,,,,,,,,,,,,C_i_a.srh,,,,,,,,
122,"['Al', 'Fe']",wunstel1982,wunstel,1982,"['s', 'i']",d,Al_sFe_i,None,Interstitial iron and iron-acceptor pairs in silicon,10.1007/BF00619081,DLTS-Cr,Al_sFe_id_wunstel1982_1982_None,Ev+0.19,,,,,,FZ,aluminium,thermal,,,,,0.3-100,,,,,,,,,,,,,,,,,,,,,,
1210,['Ni'],benton1982,benton,1982,[''],,Ni_,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Ni__benton1982_1982_None,Ec-0.43,,,,"Emission rate at 1.8 ms at 257 K, quenched",,FZ,,,,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,
229,['C'],jellison1982_1,jellison,1982,[''],,C_,None,Transient capacitance studies of an electron trap at Ec-ET = 0.105 eV in phosphorus-doped silicon,10.1063/1.331459,"DLTS, EPR",C__jellison1982_1_1982_None,Ec-0.172,,,,Anneals out at 625 K.,,FZ,phosphorus,irradiation,,>1e-14,0.002,,10,,,,,,,,,,,,,,CC_i-s_a.srh,,,,,,,,
332,['Si'],mukashev1982,mukashev,1982,['i'],,Si_i,None,Studies of radiation defects in hydrogen implanted silicon by deep level transient spectroscopy,10.1080/00337578208229928,DLTS,Si_i_mukashev1982_1982_None,Ev+0.28,,,,measurement data taken from laplace DLTS database. Out at 673 for 10 min,,CZ,boron,irridation,,,0.015,,22,5.0,"122.1,132.8,145.5,160.7","1,10,100,1000",,,,,,,,,,,,,,,,,,,
312,"['Si', 'Si']",benton1982_1,benton,1982,"['v', 'v']",,Si_vSi_v,None,Capacitance Transient Spectroscopy of Trace Contamination in Silicon,10.1149/1.2124387,DLTS,Si_vSi_v_benton1982_1_1982_None,Ec-0.41,,,,"Emission rate at 1.8 ms at 123 K, Irradiated with 1 Mev",,"FZ,CZ",,,,3.9999999999999995e-15,,,,,,,,,,,,,,,,,,,,,,,,,
613,['N'],tokumaru1982,tokumaru,1982,[''],,N_,None,Deep Levels Associated with Nitrogen in Silicon,10.1143/JJAP.21.L443,DLTS,N__tokumaru1982_1982_None,Ec-0.19,,,,,,FZ,"boron, phosphorus",melt,,8e-17,,,"30,100",,,,,,,,,,,,,,,,,,,,,,
